Name,Carnegie Classification,State,Latest Year,Total Enrollment (FTE),Total Building Square Footage (GSF),Carbon Neutral,Fiscal Year,Source,Value,Unit
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2016,Total Purchased Electricity Consumption,11819828.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2016,Purchased Thermal Energy,27667.0,MMBtu
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2016,Solar Retained,305544.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2017,Total Purchased Electricity Consumption,10824119.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2017,Purchased Thermal Energy,25585.0,MMBtu
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2017,Solar Retained,291569.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2018,Total Purchased Electricity Consumption,10500489.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2018,Purchased Thermal Energy,26419.0,MMBtu
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2018,Solar Retained,274205.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2019,Total Purchased Electricity Consumption,10844867.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2019,Power purchase agreement Purchased,4528.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2019,Power purchase agreement Verification,1.0,
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2020,Total Purchased Electricity Consumption,10095808.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2020,Power purchase agreement Purchased,4813.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2020,Power purchase agreement Verification,1.0,
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2023,Total Purchased Electricity Consumption,10567414.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2023,Power purchase agreement Purchased,3270.0,kWh
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2023,Power purchase agreement Verification,1.0,
Agnes Scott College,Baccalaureate Colleges,GA,2024,1047.0,1022795.0,0.0,2024,Total Purchased Electricity Consumption,10553890.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2009,Total Purchased Electricity Consumption,11703051.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2010,Total Purchased Electricity Consumption,13586396.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2011,Total Purchased Electricity Consumption,13982164.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2012,Total Purchased Electricity Consumption,11004829.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2013,Total Purchased Electricity Consumption,10678842.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2014,Total Purchased Electricity Consumption,9905576.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2015,Total Purchased Electricity Consumption,9713327.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2016,Total Purchased Electricity Consumption,10823431.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2017,Total Purchased Electricity Consumption,12873993.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2018,Total Purchased Electricity Consumption,12425040.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2019,Total Purchased Electricity Consumption,11236481.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2020,Total Purchased Electricity Consumption,9313340.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2021,Total Purchased Electricity Consumption,7539351.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2022,Total Purchased Electricity Consumption,8408727.0,kWh
Alamo Colleges District: Palo Alto College,Baccalaureate Colleges,TX,2023,6334.0,683037.0,0.0,2023,Total Purchased Electricity Consumption,10892223.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2009,Total Purchased Electricity Consumption,13848359.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2010,Total Purchased Electricity Consumption,14659612.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2011,Total Purchased Electricity Consumption,14695344.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2012,Total Purchased Electricity Consumption,14096539.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2013,Total Purchased Electricity Consumption,12961862.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2014,Total Purchased Electricity Consumption,12580093.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2014,Solar Retained,-281889.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2014,Solar Verification,1.0,
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2015,Total Purchased Electricity Consumption,11503224.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2015,Solar Retained,-321594.0,kWh
Alamo Colleges District: Northwest Vista College,Baccalaureate Colleges,TX,2023,10352.0,1097164.0,0.0,2015,Solar Verification,1.0,
